unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
136AC,U+136AC,,A-30-049,C,"Man, standing upon a standard used for carrying religious symbols (R12), wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a crook (S38) of the size of the man, vertically, left arm hanging besides the body.",ꜥnḏ,Logogram/phonemogram (in ꜥnḏ.ty (Busiris)),A466,,A466,,,HJ A466
136AD,U+136AD,,A-30-050,C,"Man, standing on a standard used for carrying religious symbols (R12), wearing headdress consisting of a double plume mounted on ram horns, right arm forward, holding a staff/stick that angles towards the man, left arm hanging besides the body.",ꜥnḏ.ty,Logogram (9th nome of Lower Egypt),A466A,,A466A,,,HJ A466A
136AE,U+136AE,,A-30-055,,"God (Shu) seated, both knees up, with covered legs and arms, with a long, curved beard, with a feather (H6) on the head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",ḥm,Classifier majesty (specifically referring to Shu),,,,,,A534
136AF,U+136AF,,A-30-057,C,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the red crown (S1)/Double crown (S5), with 2 plumes on top of the horns of a ram on top/within the red crown/double crown; holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",gbb,Classifier divinity (Geb),,,,,,A535
136B0,U+136B0,,A-31-004,,,,,A52J,,A52J,,,HJ A052J
136B1,U+136B1,,A-31-006,C,"Man, seated, both knees down, with short straight beard, without arms, with a flagellum (S45) on its knees.",,Classifier name (deceased person),A52A,"46,13",A52A,,,HJ A052A
136B2,U+136B2,,A-31-007,C,"Man, seated, both knees down, with short straight beard, without arms, with a tie or strap, used with sandals (ankh sign, S34), angled forwards, on its knees.",,Classifier name (deceased person),A52B,"46,14",A52B,,,HJ A052B
136B3,U+136B3,,A-31-011,,,,,A52E,"47,3",A52E,,,HJ A052E
136B4,U+136B4,,A-31-012,,"Man, seated, both knees down, with short straight beard, without arms, with a flower on the knee, which curves towards the face, with the flower in front of the face.",,Classifier name (deceased person),A52F,,A52F,,,HJ A052F
136B5,U+136B5,,A-32-003,C,"A mummy with a long-curved beard, wearing the white crown (S1), standing upright.",wsꞽr,Classifier divinity,A341,,A341,,,HJ A341
136B6,U+136B6,,A-32-004,C,"A mummy with a long-curved beard, wearing the white crown (S1), standing upright, covered arms crossed in front of the chest.",ḫnt.y-ꞽmn.tyw,Classifier divinity,,,,,,A341A
136B7,U+136B7,,A-32-005,C,"A mummy with a long-curved beard, standing upright, both arms forward, forearms horizontally, one above another.",ꞽr.w,Classifier creation/form,A53A,,A53A,,,HJ A053A
136B8,U+136B8,,A-32-009,C,"A mummy with a long-curved beard, lying horizontally (A54) on top of a bed, with a leonid head, legs and tail (Q19), with the head towards the front.",sḏr,Classifier to sleep/to spend the night,A55A,"341,4",A55A,,,HJ A055A
136B9,U+136B9,,A-33-003,C,"A statue of the king, standing on a base, with a long straight beard, uraeus and coif, right arm forward, holding a staff/stick, left hand hanging beside the body, holding a piece of cloth.",ẖn.ty,Classifier statue,,,,,,A023I
136BA,U+136BA,,A-33-004,,,,,B73,"47,9",B73,,,HJ B073
136BB,U+136BB,,A-33-007,C,"A block statue of a seated man, knees raised with arms on the knees, while covered, without beard.",twt,Classifier statue,,"47,12",A313,,,A313
136BC,U+136BC,,A-33-009,,,,,A333,,A333,,,HJ A333
136BD,U+136BD,,A-33-010,C,"A statue of a man, standing on a base, with a support at the back, with the left arm vertically over the body.",mnw,Logogram (statue),,,,,,A333A
136BE,U+136BE,,A-33-011,C,"A statue of a mummy with a long-curved beard, standing upright on a base, with a support at the back.",mnw,Classifier statue,A336,,A336,,,HJ A336
136BF,U+136BF,,A-33-014,C,"A god, with slightly curved beard and straight wig, recumbent on a rectangular carrying chair, covered by cloth.",wr-ꜥ,Classifier carrying chair,A450,,A450,,,HJ A450
136C0,U+136C0,,A-33-015,C,"A god, with a long-curved beard and short hair/wig, with a forwards and backwards curving line on the head, recumbent on a rectangular carrying chair, covered by cloth.",ꜥḳ.t-m-rw.ty,Classifier divinity,,,,,,A450A
136C1,U+136C1,,A-33-017,C,"A statue of a woman, wearing a long dress, standing on a base, with a support at the back, with the left arm vertically over the body.",smn,Classifier statue,,,,,,A536
136C2,U+136C2,,A-33-018,C,"A mummy, with a long-curved beard, standing on a platform in front of an obelisk.",mn.w,Logogram (monument)?,A66,,A66,,,A066B
136C3,U+136C3,,A-34-003,C,"A cursive form of a man, standing, bent forwards, one arm forward, carrying a stick with a bundle or a mat over his shoulders, bundle behind the back.",,,A33C,,A33C,,,HJ A033C
136C4,U+136C4,,A-34-004,C,"A man, lying down on a bed, facing upwards, knees slightly bent, right arm under the body, left arm over the body.",nhsꞽ,Classifier to awake,A103,,A103,,,HJ A103
136C5,U+136C5,,A-34-005,C,"Man, written horizontally, facing down, right arm in front, left arm over the body, on top of a bed.",sḏr,Classifier to sleep,A104,,A104,,,HJ A104
136C6,U+136C6,,A-34-007,C,"A naked man, lying face down, arms extended in front, on top of a bed with leonid legs and tail.",ẖꜣ.t,Classifier,,,,,,A104D
136C7,U+136C7,,A-34-008,C,"A mummy with a long straight beard and uraeus, lying belly down, head raised on top of a bed, with a leonid legs and tail.",ẖꜣ.t,Classifier corpse,,,,,,A104C
136C8,U+136C8,,A-34-009,C,"A man, mummy form, without beard, lying on a bed with short triangular bedposts, facing upwards.",sḏr,Classifier to sleep,A104B,,A104B,,,HJ A104B
136C9,U+136C9,,A-34-010,C,"The king, seated on heel, both knees down, with a long straight beard, uraeus and coif/long wig, both arms forward, at the top of a sealed ointment jar (W2).",snn,Classifier (ointment vessel in the shape of the king),A153,,A153,,,HJ A153
136CA,U+136CA,,A-34-011,C,"The king, seated on heel, both knees down, with a long straight beard, uraeus and coif/long wig, back bent forward, arm forward, hand at the height of the waist, holding a cup or vessel (W10).",ꞽrp,Classifier wine,A153A,,A153A,,,HJ A153A
136CB,U+136CB,,A-34-012,C,"The king, seated on heel, right knee raised, with long straight beard and uraeus, with arms raised in front, hand palms facing outwards.",dwꜣ,Logogram (to venerate),,,,,,A153B
136CC,U+136CC,,A-34-013,C,"Man/king, seated, right knee raised, arms raised at either side of the body, right hand holding a tie or strap, used with sandals (ankh sign, S34) of the same height as the man, left hand holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40) in the left hand.",ḥḥ,Phonemogram/logogram (million/many),,,,,,A537
136CD,U+136CD,,A-34-014,C,"Two men, standing, facing each other, arms extended forwards, hands at the height of the waist, holding one side of a loop of cord with the ends upwards (V6).",š,Phonemogram,A432,,A432,,,HJ A432
136CE,U+136CE,,A-34-015,C,"Two men, standing, both facing forwards, back bent forwards, arms down at either side of the body, holding a rope at the height of the knees, which curves downwards at either end.",,,A433,,A433,,,HJ A433
136CF,U+136CF,,A-34-018,C,"Man and woman, standing, facing each other, man, left arm raised, extended towards the face of the woman, right arm hanging beside the body; woman, arms hanging at either side of the body.",mrꞽ,Logogram (to love),A437,,A437,,,HJ A437
136D0,U+136D0,,A-34-019,C,"Man and woman, copulating on a bed.",nꞽw.ty=f,Logogram (his townsman),A438,,A438,,,HJ A438
136D1,U+136D1,,A-34-020,C,"Man, kneeling, both knees down, arms extended forward, facing another man in the same position, holding hands.",ḥꜥb,Classifier playing,A470,,A470,,,HJ A470
136D2,U+136D2,,A-34-021,C,"Man, seated, right knee raised, arms extended forwards, hand palms forwards, facing another man in the same position, hands touching. ",ḥꜥb,Classifier playing,,,,,,A470A
136D3,U+136D3,,A-34-028,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, with two heads with long-curved beard and long wig written overlapping behind the head.",nṯr.w,Logogram (gods),A488,,A488,,,HJ A488
136D4,U+136D4,,B-01-005,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a stem of papyrus with a bud (M131) or flower vertically.",ṯ,Phonemogram,B1A,"48,6",B1A,,,HJ B001A
136D5,U+136D5,,B-01-007,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a club used by washermen for beating laundry (U36) vertically.",ḥm.t,Logogram (majesty),B1B,,B1B,,,HJ B001B
136D6,U+136D6,,B-01-009,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem.",ꞽ,Logogram (feminine first person singular),B7C,"48,11",B7C,,,HJ B007C
136D7,U+136D7,,B-01-010,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem and uraeus.",n.t,Classifier divinity,,,,,,B007O
136D8,U+136D8,,B-01-011,,,,,B7A,,B7A,,,HJ B007A
136D9,U+136D9,,B-01-013,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem and uraeus, holding a tie or strap, used with sandals (ankh sign, S34), which angles forward.",tfn.t,Classifier divinity,,,,,,B007P
136DA,U+136DA,,B-01-015,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",ṯ,Phonemogram,B7J,,B7J,,,HJ B007J
136DB,U+136DB,,B-01-017,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a stem of papyrus with a bud (M131) or flower vertically.",ẖrsk.t,Classifier divinity,B7E,"48,14",B7E,,,HJ B007E
136DC,U+136DC,,B-01-019,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flagellum (S45).",ḥḳꜣ.t,Classifier ruler,B7F,"49,2",B7F,,,HJ B007F
136DD,U+136DD,,B-01-025,,,,,B7I,,B7I,,,HJ B007I
136DE,U+136DE,,B-01-026,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a cup (W10) on her head, holding a stem of papyrus with a bud (M13).",ḥnw.t,Logogram (mistress),,,,,,B007N
136DF,U+136DF,,B-01-028,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a flower which curves forward, with the flower orientated downwards.",ꜥnḫ=s-n-ꜣs.t,Classifier personal name,B1F,"49,8",B1F,,,HJ B001F
136E0,U+136E0,,B-01-030,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a flower which curves towards the face, with the flower in front of the face.",ḥr-ꜥnḫ,Classifier personal name,B1G,"49,10",B1G,,,HJ B001G
136E1,U+136E1,,B-01-032,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a round vessel with an upstanding rim (W24).",n(w)ꞽ,Phonemogram,B1I,,B1I,,,HJ B001I
136E2,U+136E2,,B-01-033,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a feather (H6) vertically.",mꜣꜥ.t,Logogram (Maat),B1E,,B1E,,,HJ B001E
136E3,U+136E3,,B-01-034,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding two sticks in a 'v' shape.",ꞽr.y,Phonemogram (in ḥw.t-ꞽr.yw (hall of records/scriptorium)),B51,,B51,,,HJ B051
136E4,U+136E4,,B-01-035,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, with a line coming from the back of the head 45 degree upwards.",ḫft.ywt,Classifier enemy,B53,,B53,,,HJ B053
136E5,U+136E5,,B-01-036,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, and uraeus on the forehead. ",ꞽ,Logogram (first person singular),B56,,B56,,,HJ B056
136E6,U+136E6,,B-01-037,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, with a dotted line coming from the face which angles downwards.",nḫḫ,Classifier youth,B76,,B76,,,HJ B076
136E7,U+136E7,,B-01-039,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a tie or strap, used with sandals (ankh sign, S34), which angles forward.",ṯ,Phonemogram,B1D,,B1D,,,HJ B001D
136E8,U+136E8,,B-01-040,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",ꞽmn.t,Classifier divinity,B1J,,B1K,,,B001K
136E9,U+136E9,,B-01-041,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a flagellum (S45).",ḥḳꜣ.t,Classifier ruler,B1K,,B1J,,,B001J
136EA,U+136EA,,B-01-047,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a cup (W10).",ḥnw.t,Logogram (mistress),,,,,,B001Q
136EB,U+136EB,,B-01-049,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, holding a stem of papyrus with a bud (M13).",srḳ.t,Classifier divinity,B1C,,B1C,,,HJ B001C
136EC,U+136EC,,B-01-051,,,,,B10,"49,13",B10,,,HJ B010
136ED,U+136ED,,B-01-053,C,"Woman, seated, both knees up, with covered legs, with long hair, with a cup/vessel (W10) on her head, right arm forward, supporting the cup/vessel at the front, left arm hanging beside the body.",f,Phonemogram,B54,,B54,,,HJ B054
136EE,U+136EE,,B-01-054,C,"Woman, seated, both knees up, with covered legs, with long hair, arms raised in front, hands near the height of the face, hand palms outwards.",ḥm.t,Classifier woman,B18A,,B18A,,,HJ B018A
136EF,U+136EF,,B-01-055,C,"Woman, seated, both knees up, with covered legs, with long hair, left arm forward, with the wrist on the knee, right arm forward, upper arm horizontal, forearm vertical, right hand grasping the wrist of the left arm.",ḳꜣ.t-bꜣ.w,Classifier divinity (title of šntꜣyt),B29,,B29,,,HJ B029
136F0,U+136F0,,B-02-001,C,"Woman, seated, both knees down, no arms visible.",ꜣb.wt,Classifier relationship,B8A,"49,14",B8A,,,HJ B008A
